slim_id	slim_name	entrez_gene_id	Gene	direction
DOID:1612	breast cancer	7156	TOP3A	down
DOID:1612	breast cancer	7153	TOP2A	up
DOID:1612	breast cancer	96764	TGS1	up
DOID:1612	breast cancer	23336	SYNM	down
DOID:1612	breast cancer	10053	AP1M2	up
DOID:1612	breast cancer	79877	DCAKD	down
DOID:1612	breast cancer	3200	HOXA3	down
DOID:1612	breast cancer	3221	HOXC4	up
DOID:1612	breast cancer	3226	HOXC10	up
DOID:1612	breast cancer	11235	PDCD10	down
DOID:1612	breast cancer	11080	DNAJB4	down
DOID:1612	breast cancer	79745	CLIP4	down
DOID:1612	breast cancer	2247	FGF2	down
DOID:1612	breast cancer	2273	FHL1	down
DOID:1612	breast cancer	8187	ZNF239	up
DOID:1612	breast cancer	11076	TPPP	down
DOID:1612	breast cancer	192286	HIGD2A	down
DOID:1612	breast cancer	92595	ZNF764	up
DOID:1612	breast cancer	3627	CXCL10	up
DOID:1612	breast cancer	11316	COPE	down
DOID:1612	breast cancer	3679	ITGA7	down
DOID:1612	breast cancer	3654	IRAK1	up
DOID:1612	breast cancer	10580	SORBS1	down
DOID:1612	breast cancer	3705	ITPK1	down
DOID:1612	breast cancer	9276	COPB2	up
DOID:1612	breast cancer	10437	IFI30	up
DOID:1612	breast cancer	55207	ARL8B	up
DOID:1612	breast cancer	9172	MYOM2	down
DOID:1612	breast cancer	56943	ENY2	up
DOID:1612	breast cancer	9133	CCNB2	up
DOID:1612	breast cancer	55128	TRIM68	down
DOID:1612	breast cancer	3131	HLF	up
DOID:1612	breast cancer	131578	LRRC15	up
DOID:1612	breast cancer	3182	HNRNPAB	up
DOID:1612	breast cancer	10209	EIF1	down
DOID:1612	breast cancer	79919	C2orf54	up
DOID:1612	breast cancer	10253	SPRY2	down
DOID:1612	breast cancer	6882	TAF11	up
DOID:1612	breast cancer	2948	GSTM4	down
DOID:1612	breast cancer	1843	DUSP1	down
DOID:1612	breast cancer	582	BBS1	up
DOID:1612	breast cancer	8915	BCL10	up
DOID:1612	breast cancer	8974	P4HA2	up
DOID:1612	breast cancer	55748	CNDP2	up
DOID:1612	breast cancer	65244	SPATS2	up
DOID:1612	breast cancer	4629	MYH11	down
